konum,fiyat,marka,seri,model,yil,kilometre,vites_tipi,yakit_tipi,kasa_tipi,motor_hacmi,motor_gucu,cekis,ortalama_yakit_tuketimi,yakit_deposu,tramer,degisen,boyali
 Bolu,515000.0,Ford,Focus,1.6 Comfort,2011,318000.0,Otomatik,Benzin,Sedan,1596.0,100.0,Önden Çekiş,6.7,55.0,0.0,1,0
 Bursa,504000.0,Ford,Fiesta,1.4 Titanium,2009,223000.0,Otomatik,Benzin,Hatchback/5,1388.0,96.0,Önden Çekiş,6.5,42.0,0.0,3,7
 Erzincan,459999.0,Citroen,C1,1.0 SX Sensodrive,2011,132000.0,Yarı Otomatik,Benzin,Hatchback/5,998.0,69.0,Önden Çekiş,4.6,35.0,0.0,2,4
 Afyonkarahisar,495000.0,Honda,Civic,1.8 Sport,2007,280000.0,Yarı Otomatik,Benzin,Hatchback/5,1799.0,140.0,Önden Çekiş,6.8,50.0,0.0,0,0
 Sakarya,400000.0,Citroen,C3,1.4 VTi Confort,2012,148000.0,Yarı Otomatik,Benzin,Hatchback/5,1397.0,96.0,Önden Çekiş,6.3,50.0,0.0,2,0
 Aydın,470000.0,Fiat,Punto,EVO 1.4 Active,2010,240000.0,Yarı Otomatik,Benzin,Hatchback/5,1368.0,77.0,Önden Çekiş,5.9,45.0,0.0,1,0
 Antalya,320000.0,Ford,Fiesta,1.4 TDCi Comfort,2006,317000.0,Düz,Dizel,Hatchback/5,1399.0,68.0,Önden Çekiş,4.3,45.0,3500.0,2,7
 Trabzon,400000.0,Peugeot,207,1.4 HDi Envy,2011,283000.0,Düz,Dizel,Hatchback/5,1360.0,71.0,Önden Çekiş,4.4,50.0,0.0,3,7
 Çankırı,275000.0,Hyundai,Getz,1.5 CRDi GLS,2006,299000.0,Düz,Dizel,Hatchback/5,1401.0,76.0,Önden Çekiş,5.3,45.0,0.0,0,7
 Düzce,400000.0,Fiat,Linea,1.3 Multijet Active,2010,194000.0,Düz,Dizel,Sedan,1248.0,90.0,Önden Çekiş,4.9,45.0,5.0,3,2
 Diyarbakır,400000.0,Renault,Megane,1.5 dCi Expression,2008,291000.0,Otomatik,Dizel,Sedan,1461.0,100.0,Önden Çekiş,5.8,60.0,0.0,2,6
 Tekirdağ,469000.0,Renault,Megane,1.5 dCi Expression,2008,195000.0,Otomatik,Dizel,Sedan,1461.0,100.0,Önden Çekiş,5.8,60.0,2146.0,0,6
 İstanbul,530000.0,Opel,Insignia,2.0 CDTI Edition,2011,245000.0,Otomatik,Dizel,Station wagon,1956.0,130.0,Önden Çekiş,6.9,70.0,0.0,0,0
 Şanlıurfa,420000.0,Ford,Fiesta,1.4 TDCi Comfort,2006,187000.0,Otomatik,Dizel,Hatchback/5,1399.0,68.0,Önden Çekiş,4.3,45.0,0.0,0,2
 Isparta,410000.0,Opel,Corsa,1.3 CDTI Essentia,2005,158000.0,Yarı Otomatik,Dizel,Hatchback/5,1248.0,70.0,Önden Çekiş,4.4,44.0,0.0,4,0
 Mardin,510000.0,Renault,Fluence,1.5 dCi Extreme,2012,251000.0,Yarı Otomatik,Dizel,Sedan,1461.0,110.0,Önden Çekiş,4.4,60.0,0.0,1,2
 Eskişehir,530000.0,Renault,Fluence,1.5 dCi Touch Plus,2013,161000.0,Yarı Otomatik,Dizel,Sedan,1461.0,110.0,Önden Çekiş,4.4,60.0,0.0,1,10
 Hatay,490000.0,Skoda,Octavia,1.6 TDI Elegance,2011,242500.0,Yarı Otomatik,Dizel,Hatchback/5,1598.0,105.0,Önden Çekiş,4.7,55.0,0.0,0,10
 Adana,229750.0,Hyundai,Accent Era,1.4 Team,2008,170000.0,Düz,LPG & Benzin,Sedan,1201.0,76.0,Önden Çekiş,6.5,45.0,0.0,0,11
 Erzurum,460000.0,Renault,Laguna,1.6 Expression,2007,202000.0,Düz,LPG & Benzin,Station wagon,1598.0,110.0,Önden Çekiş,7.7,68.0,0.0,0,0
 Manisa,329500.0,Fiat,Albea,1.2 Active,2005,315000.0,Düz,LPG & Benzin,Sedan,1242.0,80.0,Önden Çekiş,7.0,47.0,0.0,1,4
 Bilecik,315000.0,Opel,Astra,1.6 Enjoy,2005,300000.0,Düz,LPG & Benzin,Hatchback/5,1401.0,101.0,Önden Çekiş,6.3,56.0,1000.0,0,0
 Bolu,360000.0,Peugeot,206,1.4 Feline,2006,245000.0,Otomatik,LPG & Benzin,Hatchback/5,1360.0,76.0,Önden Çekiş,6.9,50.0,0.0,0,12
 Malatya,450000.0,Ford,Focus,1.6 Ghia,2005,293000.0,Otomatik,LPG & Benzin,Sedan,1596.0,100.0,Önden Çekiş,7.7,55.0,0.0,2,11
 Aksaray,525000.0,Volkswagen,Polo,1.4 Trendline,2006,230000.0,Otomatik,LPG & Benzin,Hatchback/5,1390.0,75.0,Önden Çekiş,7.7,45.0,0.0,2,5
 Mardin,500000.0,Toyota,Corolla,1.6 Elegant,2010,326000.0,Otomatik,LPG & Benzin,Sedan,1598.0,124.0,Önden Çekiş,7.2,55.0,0.0,0,8
 Sivas,495000.0,Renault,Clio,1.2 Extreme,2008,186000.0,Yarı Otomatik,LPG & Benzin,Hatchback/5,1149.0,80.0,Önden Çekiş,5.6,55.0,0.0,0,2
 Kocaeli,520000.0,Opel,Astra,1.6 Enjoy Elegance,2008,228000.0,Yarı Otomatik,LPG & Benzin,Sedan,1598.0,115.0,Önden Çekiş,6.6,52.0,0.0,0,3
 Antalya,265000.0,Fiat,Idea,1.4 Active,2006,195000.0,Yarı Otomatik,LPG & Benzin,MPV,1368.0,95.0,Önden Çekiş,6.6,47.0,0.0,3,7
 Diyarbakır,510000.0,Opel,Astra,1.6 Enjoy,2005,215000.0,Yarı Otomatik,LPG & Benzin,Station wagon,1598.0,105.0,Önden Çekiş,6.5,52.0,0.0,0,1
 Sivas,700000.0,Opel,Astra,1.6 Edition,2015,128000.0,Düz,Benzin,Hatchback/5,1598.0,115.0,Önden Çekiş,6.5,56.0,0.0,0,0
 Çanakkale,710000.0,Fiat,Egea,1.4 Fire Easy,2019,69500.0,Düz,Benzin,Sedan,1201.0,76.0,Önden Çekiş,5.7,45.0,0.0,0,0
 Zonguldak,579000.0,Citroen,C4,1.6 VTI Confort,2011,143000.0,Düz,Benzin,Hatchback/5,1598.0,122.0,Önden Çekiş,6.2,60.0,0.0,0,0
 Adıyaman,735000.0,Volkswagen,Passat,1.6 Trendline,2010,259000.0,Düz,Benzin,Sedan,1595.0,102.0,Önden Çekiş,7.6,70.0,0.0,0,0
 Samsun,695000.0,Hyundai,i20,1.4 CVVT Jump,2012,187000.0,Otomatik,Benzin,Hatchback/5,1396.0,100.0,Önden Çekiş,6.0,45.0,0.0,0,0
 Balıkesir,630000.0,Audi,A3,A3 Sportback 1.6 Sportback Ambition,2006,290000.0,Otomatik,Benzin,Hatchback/5,1595.0,102.0,Önden Çekiş,7.6,55.0,0.0,0,12
 Eskişehir,699000.0,Nissan,Micra,1.2 Punch,2012,88000.0,Otomatik,Benzin,Hatchback/5,1198.0,80.0,Önden Çekiş,5.4,41.0,2.0,2,1
 Nevşehir,725000.0,Nissan,Micra,1.2 Tekna,2011,99000.0,Otomatik,Benzin,Hatchback/5,1200.0,76.0,Önden Çekiş,6.6,46.0,0.0,0,0
 Bilecik,650000.0,Volvo,S60,1.6 T4 Premium,2011,190000.0,Yarı Otomatik,Benzin,Sedan,1595.0,180.0,Önden Çekiş,7.6,67.0,0.0,0,0
 Diyarbakır,595000.0,Fiat,Punto,EVO 1.4 Dynamic,2011,106500.0,Yarı Otomatik,Benzin,Hatchback/5,1368.0,77.0,Önden Çekiş,5.9,45.0,0.0,2,1
 Afyonkarahisar,580000.0,Opel,Corsa,1.2 Twinport Essentia,2011,201000.0,Yarı Otomatik,Benzin,Hatchback/5,1229.0,85.0,Önden Çekiş,5.1,45.0,9915.0,2,1
 Muğla,700000.0,Citroen,C3,1.4 VTi Collection,2012,142000.0,Yarı Otomatik,Benzin,Hatchback/5,1397.0,96.0,Önden Çekiş,6.3,50.0,0.0,0,0
 Isparta,565000.0,Ford,Fiesta,1.4 TDCi Titanium,2011,216000.0,Düz,Dizel,Hatchback/5,1398.0,70.0,Önden Çekiş,4.2,45.0,0.0,1,1
 Balıkesir,589750.0,Ford,C-Max,1.6 TDCi Trend,2007,180000.0,Düz,Dizel,MPV,1401.0,101.0,Önden Çekiş,4.9,55.0,0.0,0,1
 Aksaray,655000.0,Fiat,Egea,1.3 Multijet Easy,2017,163000.0,Düz,Dizel,Sedan,1248.0,95.0,Önden Çekiş,4.1,45.0,0.0,1,1
 Ankara,700000.0,Peugeot,301,1.6 BlueHDI Active,2018,195500.0,Düz,Dizel,Sedan,1560.0,102.0,Önden Çekiş,3.9,50.0,0.0,1,1
 Manisa,750000.0,Volkswagen,Polo,1.4 TDi Comfortline,2016,203000.0,Otomatik,Dizel,Hatchback/5,1401.0,76.0,Önden Çekiş,3.5,45.0,0.0,0,4
 Mardin,550000.0,Hyundai,i30,1.6 CRDi Style Plus,2009,315000.0,Otomatik,Dizel,Hatchback/5,1582.0,115.0,Önden Çekiş,5.9,53.0,0.0,0,9
 Erzurum,640000.0,Renault,Fluence,1.5 dCi Extreme,2011,166000.0,Otomatik,Dizel,Sedan,1401.0,101.0,Önden Çekiş,4.5,60.0,4000.0,0,6
 Balıkesir,719000.0,Hyundai,i30,1.6 CRDi Prime,2009,218000.0,Otomatik,Dizel,Hatchback/5,1582.0,115.0,Önden Çekiş,4.7,53.0,5000.0,0,8
 Hatay,635000.0,Toyota,Corolla,1.4 D-4D Comfort Extra,2011,250000.0,Yarı Otomatik,Dizel,Sedan,1364.0,90.0,Önden Çekiş,4.8,55.0,0.0,1,4
 Kırşehir,750000.0,Renault,Fluence,1.5 dCi Touch,2014,255000.0,Yarı Otomatik,Dizel,Sedan,1461.0,110.0,Önden Çekiş,4.4,60.0,0.0,0,0
 Kırıkkale,670000.0,Peugeot,508,1.6 e-HDi Access,2011,265000.0,Yarı Otomatik,Dizel,Sedan,1560.0,114.0,Önden Çekiş,4.4,72.0,0.0,0,1
 Batman,540000.0,Renault,Fluence,1.5 dCi Business,2012,271000.0,Yarı Otomatik,Dizel,Sedan,1461.0,110.0,Önden Çekiş,4.4,60.0,0.0,0,4
 Zonguldak,590000.0,Hyundai,Accent Blue,1.4 D-CVVT Mode Plus,2016,250865.0,Düz,LPG & Benzin,Sedan,1368.0,100.0,Önden Çekiş,5.9,43.0,0.0,0,0
 Balıkesir,669500.0,Toyota,Avensis,1.6 Comfort,2006,197000.0,Düz,LPG & Benzin,Sedan,1401.0,101.0,Önden Çekiş,7.2,60.0,0.0,0,3
 Adana,625000.0,Toyota,Corolla,1.33 Comfort,2012,210000.0,Düz,LPG & Benzin,Sedan,1329.0,99.0,Önden Çekiş,5.9,55.0,0.0,0,0
 Tunceli,655000.0,Volkswagen,Golf,1.4 TSi Highline,2010,285000.0,Düz,LPG & Benzin,Hatchback/3,1390.0,160.0,Önden Çekiş,5.0,55.0,0.0,1,2
 Balıkesir,715000.0,Nissan,Micra,1.2 Platinum,2012,111000.0,Otomatik,LPG & Benzin,Hatchback/5,1198.0,80.0,Önden Çekiş,5.4,41.0,10.0,1,8
 Diyarbakır,675000.0,Honda,Civic,1.6 i-VTEC Elegance,2012,255000.0,Otomatik,LPG & Benzin,Sedan,1595.0,125.0,Önden Çekiş,7.1,50.0,0.0,1,3
 Malatya,596000.0,Opel,Corsa,1.4 Twinport Enjoy,2009,123000.0,Otomatik,LPG & Benzin,Hatchback/5,1364.0,90.0,Önden Çekiş,6.2,45.0,1370.0,0,3
 Aydın,675000.0,Opel,Corsa,1.4 Twinport Enjoy,2011,139000.0,Otomatik,LPG & Benzin,Hatchback/5,1364.0,90.0,Önden Çekiş,6.2,45.0,0.0,0,6
 Malatya,750000.0,Volkswagen,Polo,1.4 Chrome Edition,2013,170000.0,Yarı Otomatik,LPG & Benzin,Hatchback/5,1390.0,85.0,Önden Çekiş,5.8,45.0,0.0,2,2
 Malatya,610000.0,Opel,Astra,1.6 Enjoy Elegance,2010,243000.0,Yarı Otomatik,LPG & Benzin,Sedan,1598.0,115.0,Önden Çekiş,6.6,52.0,0.0,0,3
 Adıyaman,610000.0,Opel,Astra,1.6 Essentia Konfor,2013,185000.0,Yarı Otomatik,LPG & Benzin,Hatchback/5,1598.0,115.0,Önden Çekiş,6.3,52.0,0.0,3,2
 Nevşehir,756000.0,Volkswagen,Golf,1.2 TSi Comfortline,2013,247000.0,Yarı Otomatik,LPG & Benzin,Hatchback/5,1197.0,105.0,Önden Çekiş,4.8,50.0,0.0,0,0
 Tekirdağ,815000.0,Seat,Ibiza,1.2 TSI Style,2015,121000.0,Düz,Benzin,Hatchback/5,1200.0,76.0,Önden Çekiş,4.9,45.0,0.0,0,0
 Sivas,1055000.0,Seat,Leon,1.2 TSI Style,2017,100000.0,Düz,Benzin,Hatchback/5,1197.0,110.0,Önden Çekiş,4.9,50.0,0.0,0,2
 Elazığ,990000.0,Volkswagen,Passat,1.4 TSi BlueMotion Highline,2012,162000.0,Düz,Benzin,Sedan,1390.0,122.0,Önden Çekiş,5.9,70.0,0.0,0,3
 Trabzon,810000.0,Fiat,Egea,1.4 Fire Easy,2023,43000.0,Düz,Benzin,Sedan,1368.0,95.0,Önden Çekiş,6.4,45.0,0.0,0,0
 Kilis,830000.0,Opel,Astra,1.4 T Dynamic,2016,95000.0,Otomatik,Benzin,Hatchback/5,1201.0,126.0,Önden Çekiş,5.5,52.0,0.0,0,5
 Tokat,1080000.0,Hyundai,i20,1.4 MPI Style,2016,68000.0,Otomatik,Benzin,Hatchback/5,1368.0,100.0,Önden Çekiş,6.4,50.0,0.0,0,0
 Konya,1059000.0,Volkswagen,Polo,1.0 TSi Highline,2018,105000.0,Otomatik,Benzin,Hatchback/5,1200.0,76.0,Önden Çekiş,4.6,40.0,0.0,0,1
 Malatya,930000.0,Renault,Taliant,1.0 Tce Joy,2022,42000.0,Otomatik,Benzin,Sedan,1200.0,76.0,Önden Çekiş,6.1,50.0,0.0,0,0
 Diyarbakır,890000.0,Volkswagen,Golf,1.4 TSi Highline,2011,203000.0,Yarı Otomatik,Benzin,Hatchback/3,1390.0,160.0,Önden Çekiş,6.0,55.0,0.0,0,0
 Ordu,1042000.0,Seat,Ibiza,1.0 EcoTSI Style,2021,77000.0,Yarı Otomatik,Benzin,Hatchback/5,999.0,110.0,Önden Çekiş,4.7,40.0,0.0,1,1
 Trabzon,1050000.0,Volkswagen,VW CC,1.4 TSi,2012,145000.0,Yarı Otomatik,Benzin,Coupe,1390.0,160.0,Önden Çekiş,6.9,70.0,0.0,0,0
 Balıkesir,865000.0,Renault,Clio,1.2 Turbo Icon,2015,84000.0,Yarı Otomatik,Benzin,Hatchback/5,1197.0,120.0,Önden Çekiş,5.2,45.0,0.0,0,0
 Mersin,895000.0,Renault,Clio,1.5 dCi Icon,2017,152000.0,Düz,Dizel,Hatchback/5,1461.0,90.0,Önden Çekiş,3.6,45.0,0.0,0,0
 Bilecik,880000.0,Fiat,Egea,1.3 Multijet Easy,2023,135000.0,Düz,Dizel,Sedan,1248.0,95.0,Önden Çekiş,4.1,50.0,0.0,0,0
 Van,780000.0,Ford,Focus,1.6 TDCi Style,2014,243000.0,Düz,Dizel,Hatchback/5,1401.0,101.0,Önden Çekiş,4.2,53.0,0.0,0,3
 Sivas,980000.0,Renault,Megane,1.5 dCi Icon,2018,248000.0,Düz,Dizel,Sedan,1461.0,110.0,Önden Çekiş,3.9,49.0,0.0,0,3
 Şanlıurfa,1115000.0,Volkswagen,Jetta,1.6 TDi Comfortline,2014,188000.0,Otomatik,Dizel,Sedan,1401.0,101.0,Önden Çekiş,4.5,55.0,0.0,0,0
 Afyonkarahisar,930000.0,Mazda,3,1.5 SkyActive-D Motion,2016,157000.0,Otomatik,Dizel,Sedan,1499.0,105.0,Önden Çekiş,4.4,51.0,0.0,0,3
 Denizli,1020000.0,Toyota,Corolla,1.4 D-4D Advance,2017,191000.0,Otomatik,Dizel,Sedan,1201.0,76.0,Önden Çekiş,4.1,55.0,0.0,0,4
 Sakarya,875000.0,BMW,1 Serisi,116d M Sport,2015,250000.0,Otomatik,Dizel,Hatchback/5,1401.0,126.0,Önden Çekiş,4.2,42.0,0.0,0,0
 Elazığ,800000.0,Toyota,Corolla,1.4 D-4D Comfort Extra,2012,182000.0,Yarı Otomatik,Dizel,Sedan,1364.0,90.0,Önden Çekiş,4.8,55.0,0.0,1,3
 Osmaniye,805000.0,Volkswagen,Jetta,1.6 TDi Comfortline,2011,152500.0,Yarı Otomatik,Dizel,Sedan,1598.0,105.0,Önden Çekiş,4.7,55.0,0.0,1,3
 Muş,855000.0,Renault,Fluence,1.5 dCi Icon,2016,176000.0,Yarı Otomatik,Dizel,Sedan,1461.0,110.0,Önden Çekiş,4.4,60.0,0.0,0,0
 Şanlıurfa,1120000.0,Renault,Megane,1.5 Blue DCI Touch,2019,181000.0,Yarı Otomatik,Dizel,Sedan,1461.0,115.0,Önden Çekiş,4.2,49.0,0.0,0,0
 Diyarbakır,798000.0,Opel,Astra,1.6 Edition Plus,2016,125000.0,Düz,LPG & Benzin,Sedan,1598.0,115.0,Önden Çekiş,6.5,56.0,0.0,0,0
 Adana,815000.0,Volkswagen,Passat,1.6 Trendline,2010,254000.0,Düz,LPG & Benzin,Sedan,1595.0,102.0,Önden Çekiş,7.6,70.0,0.0,0,0
 Balıkesir,825000.0,Ford,Focus,1.6 Ti-VCT Style,2011,198000.0,Düz,LPG & Benzin,Sedan,1596.0,125.0,Önden Çekiş,6.0,55.0,0.0,1,5
 Bolu,830000.0,Toyota,Corolla,1.6 Elegant,2011,220000.0,Düz,LPG & Benzin,Sedan,1598.0,124.0,Önden Çekiş,7.0,55.0,0.0,1,1
 Ankara,775000.0,Honda,Civic,1.8 Executive,2009,260000.0,Otomatik,LPG & Benzin,Hatchback/5,1799.0,140.0,Önden Çekiş,6.6,50.0,0.0,0,0
 Aydın,885000.0,Honda,Civic,1.6 i-VTEC Elegance,2008,165000.0,Otomatik,LPG & Benzin,Sedan,1595.0,125.0,Önden Çekiş,7.1,50.0,2800.0,2,2
 Ağrı,980000.0,Opel,Astra,1.4 T Sport,2017,111000.0,Otomatik,LPG & Benzin,Sedan,1364.0,140.0,Önden Çekiş,6.7,56.0,1200.0,0,0
 Ankara,1040000.0,Hyundai,Elantra,1.6 D-CVVT Style,2016,160000.0,Otomatik,LPG & Benzin,Sedan,1401.0,126.0,Önden Çekiş,6.9,50.0,4640.0,1,4
 Ankara,959000.0,Volkswagen,Polo,1.2 TSi Comfortline,2014,155000.0,Yarı Otomatik,LPG & Benzin,Hatchback/5,1197.0,90.0,Önden Çekiş,4.7,45.0,0.0,0,0
 Adana,1100000.0,Renault,Megane,1.3 TCe Joy Comfort,2021,63000.0,Yarı Otomatik,LPG & Benzin,Sedan,1332.0,140.0,Önden Çekiş,5.3,50.0,0.0,0,0
 Osmaniye,975000.0,Ford,Focus,1.6 Ti-VCT Trend X,2015,80000.0,Yarı Otomatik,LPG & Benzin,Hatchback/5,1596.0,125.0,Önden Çekiş,6.6,55.0,0.0,0,0
 Erzincan,975000.0,Honda,Civic,1.6 i-VTEC ECO Elegance,2018,77000.0,Yarı Otomatik,LPG & Benzin,Sedan,1597.0,125.0,Önden Çekiş,6.7,47.0,0.0,1,4
 Balıkesir,1325000.0,Renault,Clio,1.0 TCe Equilibre,2024,25000.0,Düz,Benzin,Hatchback/5,999.0,90.0,Önden Çekiş,6.0,42.0,0.0,0,0
 Çanakkale,1255000.0,Skoda,SuperB,1.4 TSI Active,2016,102000.0,Düz,Benzin,Sedan,1395.0,125.0,Önden Çekiş,5.3,60.0,0.0,1,0
 Kütahya,1165000.0,Volkswagen,Golf,1.4 TSi Comfortline,2014,95000.0,Düz,Benzin,Hatchback/5,1201.0,101.0,Önden Çekiş,6.0,55.0,0.0,0,0
 Kocaeli,1220000.0,Renault,Megane,1.3 TCe Joy,2020,28000.0,Düz,Benzin,Sedan,1332.0,140.0,Önden Çekiş,5.5,50.0,0.0,0,0
 Afyonkarahisar,2015000.0,Mercedes - Benz,E,180 Premium,2015,257000.0,Otomatik,Benzin,Sedan,1595.0,156.0,Arkadan İtiş,6.6,59.0,0.0,0,0
 Balıkesir,1145000.0,Peugeot,308,1.2 PureTech Style Tech,2021,75000.0,Otomatik,Benzin,Hatchback/5,1200.0,126.0,Önden Çekiş,4.2,53.0,0.0,0,0
 Balıkesir,1470000.0,Toyota,Corolla,1.5 Dream,2021,85000.0,Otomatik,Benzin,Sedan,1490.0,125.0,Önden Çekiş,5.8,50.0,0.0,0,0
 Ankara,1428750.0,Hyundai,i20,1.4 MPI Style,2024,14000.0,Otomatik,Benzin,Hatchback/5,1368.0,100.0,Önden Çekiş,6.1,40.0,0.0,0,0
 Elazığ,1381000.0,Renault,Megane,1.3 TCe Joy Comfort,2022,19000.0,Yarı Otomatik,Benzin,Sedan,1332.0,140.0,Önden Çekiş,5.3,50.0,0.0,0,0
 Mersin,1825000.0,Skoda,SuperB,1.5 TSI Prestige,2021,176000.0,Yarı Otomatik,Benzin,Sedan,1498.0,150.0,Önden Çekiş,5.4,66.0,0.0,0,0
 Aydın,1539000.0,Skoda,Scala,1.0 TSI Elite,2025,20290.0,Yarı Otomatik,Benzin,Hatchback/5,999.0,110.0,Önden Çekiş,4.8,50.0,0.0,0,0
 Afyonkarahisar,1889000.0,Volkswagen,Passat,1.5 TSi Business,2020,45000.0,Yarı Otomatik,Benzin,Sedan,1498.0,150.0,Önden Çekiş,5.3,66.0,0.0,2,0
 Balıkesir,1150000.0,Fiat,Egea,1.3 Multijet Easy,2024,22500.0,Düz,Dizel,Sedan,1248.0,95.0,Önden Çekiş,4.1,50.0,0.0,0,0
 Adıyaman,1250000.0,Volkswagen,Passat,1.6 TDi BlueMotion Highline,2015,240000.0,Düz,Dizel,Sedan,1598.0,120.0,Önden Çekiş,4.0,66.0,0.0,1,0
 Yozgat,1569000.0,Volkswagen,Passat,1.6 TDi BlueMotion Comfortline,2016,115000.0,Düz,Dizel,Sedan,1598.0,120.0,Önden Çekiş,4.0,66.0,0.0,0,0
 Amasya,1125000.0,Renault,Megane,1.5 dCi Touch,2016,182000.0,Düz,Dizel,Sedan,1461.0,110.0,Önden Çekiş,3.9,49.0,0.0,1,0
 Mersin,1289000.0,Volkswagen,Golf,1.6 TDi BlueMotion Comfortline,2017,154000.0,Otomatik,Dizel,Hatchback/5,1401.0,101.0,Önden Çekiş,3.9,50.0,0.0,0,0
 Adana,1195000.0,Ford,Focus,1.5 TDCi Trend X,2020,234000.0,Otomatik,Dizel,Sedan,1401.0,101.0,Önden Çekiş,4.3,47.0,0.0,0,1
 Bursa,1165500.0,BMW,1 Serisi,116d Joy Plus,2016,119000.0,Otomatik,Dizel,Hatchback/5,1496.0,116.0,Arkadan İtiş,4.1,52.0,6818.0,2,2
 Ankara,1535000.0,Mercedes - Benz,C,C 200 D AMG,2016,235000.0,Otomatik,Dizel,Sedan,1598.0,136.0,Arkadan İtiş,4.2,41.0,0.0,3,8
 Balıkesir,1189750.0,Volkswagen,Polo,1.6 TDi Comfortline,2018,143100.0,Yarı Otomatik,Dizel,Hatchback/5,1598.0,95.0,Önden Çekiş,3.9,40.0,0.0,0,0
 Bolu,2049750.0,Mercedes - Benz,A,A 180 d AMG,2018,93000.0,Yarı Otomatik,Dizel,Hatchback/5,1461.0,116.0,Önden Çekiş,4.5,43.0,7680.0,0,1
 Sivas,1370000.0,Ford,C-Max,1.5 TDCi Titanium,2016,66150.0,Yarı Otomatik,Dizel,MPV,1499.0,120.0,Önden Çekiş,4.6,60.0,0.0,0,0
 Adıyaman,1125000.0,Skoda,Octavia,1.6 TDI Style,2015,239000.0,Yarı Otomatik,Dizel,Hatchback/5,1598.0,110.0,Önden Çekiş,3.7,50.0,0.0,0,0
 Kahramanmaraş,1245000.0,Toyota,Corolla,1.6 Life,2018,39000.0,Düz,LPG & Benzin,Sedan,1598.0,132.0,Önden Çekiş,6.3,55.0,0.0,0,0
 Adana,1150000.0,Toyota,Corolla,1.6 Life,2018,130000.0,Düz,LPG & Benzin,Sedan,1598.0,132.0,Önden Çekiş,6.3,55.0,0.0,0,0
 Kırşehir,1125000.0,Toyota,Corolla,1.6 Life,2018,98800.0,Düz,LPG & Benzin,Sedan,1598.0,132.0,Önden Çekiş,6.3,55.0,2024.0,1,1
 Kahramanmaraş,1375000.0,Toyota,Corolla,1.6 Advance,2018,77000.0,Düz,LPG & Benzin,Sedan,1598.0,132.0,Önden Çekiş,6.3,55.0,0.0,0,0
 Aydın,1445000.0,Toyota,Corolla,1.5 Dream,2023,66000.0,Otomatik,LPG & Benzin,Sedan,1490.0,125.0,Önden Çekiş,6.3,50.0,0.0,0,0
